Player,ShotType,Hit
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
Irving,Two,1
